length_km,ideal,"tha[1.4 V, 200 ps]","dual_naive[1.4 V, 200 ps]","dual_aware[1.4 V, 200 ps]","tha[1.4 V, 1.6 ns]","dual_naive[1.4 V, 1.6 ns]","dual_aware[1.4 V, 1.6 ns]","tha[2.0 V, 1.6 ns]","dual_naive[2.0 V, 1.6 ns]","dual_aware[2.0 V, 1.6 ns]"
127.0,0.00027906014258123266,0.0,0.0002790601423647334,0.0002790601423542451,0.0,0.0002790601408189308,0.00027906014073355976,0.0,0.00027906013814337714,0.00027906013792936067
128.0,0.00026649698683308396,0.0,0.0002664969866530105,0.0002664969866442864,0.0,0.00026649698536713757,0.00026649698529612406,0.0,0.0002664969831415142,0.00026649698296364783
129.0,0.0002544993568998198,0.0,0.0002544993567500527,0.0002544993567427962,0.0,0.00025449935568069024,0.00025449935562163266,0.0,0.00025449935383014204,0.00025449935368143987
130.0,0.00024304179195911403,0.0,0.00024304179183440433,0.00024304179182836418,0.0,0.00024304179094512834,0.00024304179089600872,0.0,0.00024304178940608574,0.00024304178928241042
131.0,0.00023209997781370526,0.0,0.00023209997770997617,0.00023209997770495214,0.0,0.00023209997697018784,0.00023209997692932415,0.0,0.00023209997569019578,0.00023209997558732505
132.0,0.00022165069522596737,0.0,0.00022165069513972215,0.00022165069513554477,0.0,0.00022165069452435653,0.0002216506944903682,0.0,0.0002216506934597029,0.0002216506933741393
133.0,0.00021167177058020332,0.0,0.00021167177050852764,0.00021167177050505592,0.0,0.00021167176999660638,0.00021167176996833364,0.0,0.00021167176911115578,0.00021167176903998968
134.0,0.00020214202876744724,0.0,0.00020214202870771848,0.0002021420287048254,0.0,0.00020214202828204515,0.00020214202825853098,0.0,0.00020214202754549422,0.00020214202748629817
135.0,0.00019304124819964521,0.0,0.00019304124815011496,0.0001930412481477158,0.0,0.00019304124779583094,0.00019304124777626836,0.0,0.00019304124718341013,0.0001930412471341776
136.0,0.0001843501178559815,0.0,0.00018435011781460988,0.0001843501178126059,0.0,0.0001843501175203504,0.0001843501175040901,0.0,0.00018435011701049267,0.00018435011696953262
137.0,0.0001760501962571034,0.0,0.0001760501962227249,0.00017605019622105958,0.0,0.0001760501959777081,0.00017605019596417154,0.0,0.00017605019555409784,0.00017605019552003896
