topology,n_requests,sampler,calibration,n_solver_runs,n_instances,mean_raw_feasible_read_rate,fraction_runs_with_any_feasible,mean_raw_request_conflicts,mean_raw_edge_violations,mean_raw_memory_violations,mean_raw_violation_count,mean_raw_overload_units,mean_raw_gap_on_feasible_runs_pct,mean_repaired_gap_pct,mean_B,mean_D,mean_B_ratio,mean_D_ratio,mean_sample_time_s
chain8_c4,16,sa,resource_aware,450,90,0.5355555555555556,0.5355555555555556,0.22444444444444445,0.4111111111111111,0.2733333333333333,0.9088888888888889,1.2355555555555555,95.5711214399504,85.28833353715916,4.5522655930214615,4.56188677079924,0.9926603084398653,0.9957213429428288,0.077695480081602
chain8_c4,16,sa,resource_aware_per,450,90,0.7355555555555555,0.7355555555555555,0.08888888888888889,0.2288888888888889,0.13333333333333333,0.45111111111111113,0.6333333333333333,82.03179639291461,78.25420514331101,2.5496632984788783,2.6498958052064125,0.5617879421938052,0.5791001408241144,0.09362200139329717
chain8_c4,16,sqa,conventional,450,90,0.6822222222222222,0.6822222222222222,0.3088888888888889,0.06444444444444444,0.024444444444444446,0.3977777777777778,0.09111111111111111,27.76930236735966,26.4814978909255,4.576008680799239,4.576008680799239,1.0,1.0,6.309141773624449
chain8_c4,16,sqa,resource_aware,450,90,0.6822222222222222,0.6822222222222222,0.3088888888888889,0.06444444444444444,0.024444444444444446,0.3977777777777778,0.09111111111111111,27.764731074551495,26.432447255008608,4.5522655930214615,4.56188677079924,0.9926603084398653,0.9957213429428288,6.324948327753615
chain8_c4,16,sqa,resource_aware_per,450,90,0.6977777777777778,0.6977777777777778,0.29777777777777775,0.07777777777777778,0.011111111111111112,0.38666666666666666,0.09777777777777778,22.538436379578883,21.7620378482604,2.5496632984788783,2.6498958052064125,0.5617879421938052,0.5791001408241144,6.359159176945104
chain8_c4,24,sa,conventional,450,90,0.5688888888888889,0.5688888888888889,0.1688888888888889,0.43333333333333335,0.28,0.8822222222222222,1.4555555555555555,93.12236235486542,88.58246883058453,4.89105964286503,4.89105964286503,1.0,1.0,0.09520389150278384
chain8_c4,24,sa,resource_aware,450,90,0.5688888888888889,0.5688888888888889,0.1688888888888889,0.43333333333333335,0.28,0.8822222222222222,1.4555555555555555,93.12236235486542,88.58246883058453,4.89105964286503,4.89105964286503,1.0,1.0,0.09294333081382017
chain8_c4,24,sa,resource_aware_per,450,90,0.6444444444444445,0.6444444444444445,0.14666666666666667,0.31777777777777777,0.18222222222222223,0.6466666666666666,1.0177777777777777,80.14518835283756,79.19770437556427,3.1753366749096816,3.415760768796262,0.6556303565853671,0.7016422613487795,0.10334960389035082
chain8_c4,24,sqa,conventional,450,90,0.66,0.66,0.3466666666666667,0.06666666666666667,0.015555555555555555,0.4288888888888889,0.08222222222222222,26.819977314515874,26.23724786988679,4.89105964286503,4.89105964286503,1.0,1.0,6.393735728312879
chain8_c4,24,sqa,resource_aware,450,90,0.66,0.66,0.3466666666666667,0.06666666666666667,0.015555555555555555,0.4288888888888889,0.08222222222222222,26.819977314515874,26.23724786988679,4.89105964286503,4.89105964286503,1.0,1.0,6.401219111391498
