topology,instance,instance_seed,n_requests,n_bundles,A_conventional,B_conventional,D_conventional,A_resource_aware,B_resource_aware,D_resource_aware,B_ratio,D_ratio,B_per_resource_mean,B_per_resource_min,B_per_resource_max,B_per_resource_n,D_per_resource_mean,D_per_resource_min,D_per_resource_max,D_per_resource_n,B_ratio_per,D_ratio_per,B_tighter,D_tighter,B_n_tightened,D_n_tightened
chain8_c4,req16,13,16,31,4.273489198484926,4.273489198484926,4.273489198484926,4.273489198484926,4.273489198484926,4.273489198484926,1.0,1.0,2.541704915590331,4.273484925000001e-06,4.273489198484926,7,2.0247359697021547,4.273484925000001e-06,4.273489198484926,8,0.5947610483001661,0.4737898882299694,False,False,5,7
chain8_c4,req24,13,24,47,4.273489198484926,4.273489198484926,4.273489198484926,4.273489198484926,4.273489198484926,4.273489198484926,1.0,1.0,3.2388369806277817,4.273484925000001e-06,4.273489198484926,7,3.368168507859925,4.273484925000001e-06,4.273489198484926,8,0.7578905269670605,0.788154211096178,False,False,5,5
chain8_c4,req8,14,8,10,3.6432031431995004,3.6432031431995004,3.6432031431995004,3.6432031431995004,3.6432031431995004,3.6432031431995004,1.0,1.0,1.0718019431995,3.6431995000000004e-06,3.6432031431995004,5,1.500368809866167,3.6431995000000004e-06,3.6432031431995004,6,0.29419219875239566,0.4118268322936631,False,False,4,4
chain8_c4,req16,14,16,20,3.6432031431995004,3.6432031431995004,3.6432031431995004,3.6432031431995004,3.6432031431995004,3.6432031431995004,1.0,1.0,1.747753240519142,3.6431995000000004e-06,3.6432031431995004,7,1.8411981583026247,3.6431995000000004e-06,3.6432031431995004,8,0.47972983438531136,0.5053789442785956,False,False,6,6
chain8_c4,req24,14,24,37,3.6432031431995004,3.6432031431995004,3.6432031431995004,3.6432031431995004,3.6432031431995004,3.6432031431995004,1.0,1.0,3.044105138674499,2.1511244431994996,3.6432031431995004,7,3.168824779501062,2.1511244431994996,3.6432031431995004,8,0.8355573430915337,0.8697908557243299,False,False,6,6
chain8_c4,req8,15,8,16,3.6280157480121185,3.6280157480121185,3.6280157480121185,3.6280157480121185,3.6280157480121185,3.6280157480121185,1.0,1.0,1.7957165269911823,3.628012119999998e-06,3.6280157480121185,7,1.5105468930121198,3.628012119999998e-06,3.6280157480121185,8,0.4949583055076596,0.41635621175012444,False,False,4,7
chain8_c4,req16,15,16,31,4.04119449119045,4.04119449119045,4.04119449119045,4.04119449119045,4.04119449119045,4.04119449119045,1.0,1.0,2.7174078592514093,4.04119045e-06,4.04119449119045,7,2.9841667549404494,4.04119045e-06,4.04119449119045,8,0.6724268938738751,0.738436806604024,False,False,5,5
chain8_c4,req24,15,24,47,5.643325643319999,5.643325643319999,5.643325643319999,5.643325643319999,5.643325643319999,5.643325643319999,1.0,1.0,3.7331477204628563,1.3150943733199993,5.643325643319999,7,4.3385787445699995,3.6280177633199986,5.643325643319999,8,0.6615155595144117,0.7687982262206634,False,False,6,6
chain8_c4,req8,16,8,9,2.0295741295720995,2.0295741295720995,2.0295741295720995,2.0295741295720995,2.0295741295720995,2.0295741295720995,1.0,1.0,0.7409441472688797,2.029572099999999e-06,2.0295741295720995,6,0.7333868267843882,2.029572099999999e-06,2.0295741295720995,7,0.36507370510536363,0.36135010596484596,False,False,4,5
chain8_c4,req16,16,16,20,3.300547300544,3.300547300544,3.300547300544,3.300547300544,2.029575400543999,2.029575400543999,0.6149208648545902,0.6149208648545902,0.6793656152711911,3.300544e-06,2.029575400543999,7,0.8300242522030729,3.300544e-06,2.029575400543999,8,0.20583423093473538,0.25148079291766773,True,True,7,8
