topology,instance,instance_seed,solver_seed,n_requests,n_bundles,bqm_variables,sampler,calibration,coefficient_scale,A,B,B_min,B_max,B_n,C,D,D_min,D_max,D_n,E,B_ratio,D_ratio,B_tighter,D_tighter,oracle_utility,oracle_optimal,oracle_status,compile_time_s,sample_time_s,n_reads,raw_feasible_rate,raw_mean_request_conflicts,raw_mean_edge_violations,raw_mean_memory_violations,raw_mean_violation_count,raw_mean_overload_units,raw_best_feasible_utility,repaired_best_utility,found_feasible,raw_optimality_gap_pct,repaired_optimality_gap_pct
chain8_c4,req16,10,202,16,25,78,sa,resource_aware,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.003452957986155525,0.07417779200477526,100,0.0,0.0,1.0,0.0,1.0,1.0,nan,1.747676390351491,False,nan,89.636545522471
chain8_c4,req16,10,303,16,25,78,sa,resource_aware,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.003452957986155525,0.07584737500292249,100,1.0,0.0,0.0,0.0,0.0,0.0,-1.1814865579544596,-1.1814865579544596,True,107.00603511426446,107.00603511426446
chain8_c4,req16,10,404,16,25,78,sa,resource_aware,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.003452957986155525,0.07374291701125912,100,1.0,0.0,0.0,0.0,0.0,0.0,1.3325536915216558,1.332553691521656,True,92.09815982112656,92.09815982112656
chain8_c4,req16,10,505,16,25,78,sa,resource_aware,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.003452957986155525,0.0738059580035042,100,0.0,0.0,1.0,0.0,1.0,2.0,nan,4.8340472678325614,False,nan,71.33483688457297
chain8_c4,req16,10,101,16,25,78,sqa,resource_aware,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.003452957986155525,5.998412250017282,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,10.84286608479956,False,nan,35.70345763315843
chain8_c4,req16,10,202,16,25,78,sqa,resource_aware,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.003452957986155525,6.126310749998083,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,14.88021931418136,False,nan,11.762568671450824
chain8_c4,req16,10,303,16,25,78,sqa,resource_aware,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.003452957986155525,6.094656166998902,100,1.0,0.0,0.0,0.0,0.0,0.0,9.169954168795577,9.169954168795577,True,45.62357017924385,45.62357017924385
chain8_c4,req16,10,404,16,25,78,sqa,resource_aware,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.003452957986155525,6.129054958000779,100,1.0,0.0,0.0,0.0,0.0,0.0,11.73714288879956,11.73714288879956,True,30.400532560914247,30.400532560914247
chain8_c4,req16,10,505,16,25,78,sqa,resource_aware,1.0,5.723581723575999,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,5.723581723575999,5.723581723575999,5.723581723575999,1,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.003452957986155525,6.404170333000366,100,0.0,1.0,0.0,0.0,1.0,0.0,nan,12.847572546496014,False,nan,23.81585402914049
chain8_c4,req16,10,101,16,25,78,sa,resource_aware_per,1.0,5.723581723575999,2.2971624426759836,0.33641640727589034,5.723581723575999,7,0.0,3.0067975360759993,2.042357223575999,5.723581723575999,8,0.0,1.0,1.0,False,False,16.86384008479956,True,OPTIMAL,0.004090709000593051,0.08232554199639708,100,0.0,0.0,1.0,1.0,2.0,4.0,nan,3.6620591142201415,False,nan,78.28454790957733
